id,coursemoduleid,userid,completionstate,viewed,overrideby,timemodified
3565,277,347,1,0.0,,1556647752
6051,225,106,1,0.0,,1561988991
6052,225,78,1,0.0,,1561988991
1288,263,372,1,0.0,,1552548181
1100,264,90,1,1.0,,1552809455
6053,225,280,1,0.0,,1561988991
1290,261,319,1,0.0,,1552550313
1291,263,356,1,0.0,,1552551589
1293,263,328,1,0.0,,1552553414
1295,276,328,1,0.0,,1552554494
1294,264,328,1,1.0,,1552554550
1292,264,356,1,1.0,,1552554862
1296,276,356,1,0.0,,1552555265
1298,261,233,1,0.0,,1552565131
1299,261,372,1,0.0,,1552565597
1300,263,233,1,0.0,,1552565626
1301,264,233,1,1.0,,1552565829
1302,276,233,1,0.0,,1552566169
6054,225,90,1,0.0,,1561988991
1297,264,372,1,1.0,,1552566621
1304,261,383,1,0.0,,1552567948
1306,276,372,1,0.0,,1552572400
6055,225,275,1,0.0,,1561988991
6056,225,210,1,0.0,,1561988991
1309,261,161,1,0.0,,1552573167
6057,225,272,1,0.0,,1561988991
1311,261,121,1,0.0,,1552575449
6058,225,259,1,0.0,,1561988991
1313,276,382,1,0.0,,1552578838
1314,263,382,1,0.0,,1552578946
6059,225,44,1,0.0,,1561988991
1315,264,382,1,1.0,,1552579262
6060,225,140,1,0.0,,1561988991
6061,225,179,1,0.0,,1561988991
1322,263,349,1,0.0,,1552582037
1323,264,349,1,1.0,,1552582434
1324,261,377,1,0.0,,1552582441
6062,225,156,1,0.0,,1561988991
1326,276,349,1,0.0,,1552582788
6063,225,271,1,0.0,,1561988991
6064,225,201,1,0.0,,1561988992
6065,225,254,1,0.0,,1561988992
1332,261,375,1,0.0,,1552584378
1333,263,346,1,0.0,,1552584553
1335,263,377,1,0.0,,1552584907
3566,277,381,1,0.0,,1556647764
1334,264,375,1,1.0,,1552585024
1337,276,346,1,0.0,,1552585081
1338,261,349,1,0.0,,1552585103
6066,225,48,1,0.0,,1561988992
1340,264,342,0,1.0,,0
1283,264,346,1,1.0,,1552587937
1343,261,374,1,0.0,,1552588456
6067,225,107,1,0.0,,1561988992
6068,225,377,1,0.0,,1561988992
6069,225,95,1,0.0,,1561988992
1347,263,374,1,0.0,,1552589637
6070,225,306,1,0.0,,1561988992
6071,225,375,1,0.0,,1561988992
6072,225,328,1,0.0,,1561988992
6073,225,349,1,0.0,,1561988992
1355,263,376,1,0.0,,1552590894
1357,276,376,1,0.0,,1552591113
6074,225,382,1,0.0,,1561988992
1359,261,376,1,0.0,,1552593613
6075,225,340,1,0.0,,1561988992
6076,225,262,1,0.0,,1561988992
6077,225,346,1,0.0,,1561988992
6078,225,376,1,0.0,,1561988992
1370,261,340,1,0.0,,1552599028
6079,225,386,1,0.0,,1561988992
6080,225,98,1,0.0,,1561988992
6081,225,343,1,0.0,,1561988992
1376,263,340,1,0.0,,1552599350
1377,276,340,1,0.0,,1552599405
1356,264,376,1,1.0,,1552599549
6082,225,387,1,0.0,,1561988992
6083,225,362,1,0.0,,1561988992
1348,264,374,1,1.0,,1552600540
1380,264,340,1,1.0,,1552601230
1381,277,376,1,0.0,,1552601752
1382,277,123,1,0.0,,1552601752
1383,277,382,1,0.0,,1552601752
1384,277,340,1,0.0,,1552601752
1385,277,349,1,0.0,,1552601752
1387,277,161,1,0.0,,1552601778
1388,277,328,1,0.0,,1552601778
1389,277,233,1,0.0,,1552601778
1390,277,346,1,0.0,,1552601778
1391,277,189,1,0.0,,1552601778
1392,277,372,1,0.0,,1552601786
1393,261,361,1,0.0,,1552601941
6084,225,381,1,0.0,,1561988992
6085,225,354,1,0.0,,1561988992
1400,263,222,1,0.0,,1552604828
1402,264,222,1,1.0,,1552605309
1403,276,222,1,0.0,,1552605577
6086,225,167,1,0.0,,1561988992
6087,225,379,1,0.0,,1561988992
1319,264,378,1,1.0,,1553725151
6088,225,99,1,0.0,,1561988992
6089,225,130,1,0.0,,1561988992
6090,225,209,1,0.0,,1561988992
6091,225,307,1,0.0,,1561988992
6092,225,277,1,0.0,,1561988992
6093,225,363,1,0.0,,1561988992
6094,225,348,1,0.0,,1561988992
6095,225,369,1,0.0,,1561988992
6096,225,347,1,0.0,,1561988992
6097,225,374,1,0.0,,1561988992
6098,225,344,1,0.0,,1561988992
6099,225,353,1,0.0,,1561988992
6100,225,378,1,0.0,,1561988992
6101,225,332,1,0.0,,1561988992
6102,225,331,1,0.0,,1561988992
6103,225,385,1,0.0,,1561988992
6104,225,198,1,0.0,,1561988992
6105,225,138,1,0.0,,1561988992
6106,225,372,1,0.0,,1561988992
6107,225,445,1,0.0,,1561988992
6108,225,468,1,0.0,,1561988992
6109,225,548,1,0.0,,1561988992
6110,225,586,1,0.0,,1561988992
6111,225,615,1,0.0,,1561988992
6112,225,470,1,0.0,,1561988992
1412,263,362,1,0.0,,1552623138
1411,264,362,1,1.0,,1552624331
1413,261,306,1,0.0,,1552624928
1414,276,362,1,0.0,,1552625217
6113,225,480,1,0.0,,1561988992
6114,225,443,1,0.0,,1561988992
1419,261,362,1,0.0,,1552629736
1420,261,346,1,0.0,,1552631585
6115,225,581,1,0.0,,1561988992
1422,263,210,1,0.0,,1552633071
6116,225,534,1,0.0,,1561988992
1426,261,328,1,0.0,,1552637279
1427,261,382,1,0.0,,1552639718
1423,264,210,1,1.0,,1552640801
1428,276,210,1,0.0,,1552640974
6117,225,420,1,0.0,,1561988992
6118,225,428,1,0.0,,1561988992
6119,225,436,1,0.0,,1561988992
1433,263,132,1,0.0,,1552647717
1434,264,132,1,1.0,,1552648176
1435,276,132,1,0.0,,1552648258
6120,225,686,1,0.0,,1561988992
6121,225,486,1,0.0,,1561988992
6122,225,434,1,0.0,,1561988992
6123,225,723,1,0.0,,1561988992
6124,225,594,1,0.0,,1561988992
1446,261,354,1,0.0,,1552659425
1447,261,132,1,0.0,,1552662704
6125,225,411,1,0.0,,1561988992
1449,261,381,1,0.0,,1552663869
6126,225,464,1,0.0,,1561988992
6127,225,567,1,0.0,,1561988992
6128,225,414,1,0.0,,1561988992
6129,225,734,1,0.0,,1561988992
6130,225,742,1,0.0,,1561988992
6131,225,750,1,0.0,,1561988992
1458,276,374,1,0.0,,1552670409
6132,225,738,1,0.0,,1561988992
6133,225,770,1,0.0,,1561988992
6134,225,608,1,0.0,,1561988992
6135,225,461,1,0.0,,1561988992
6136,225,541,1,0.0,,1561988992
1469,263,348,1,0.0,,1552677242
1471,277,132,1,0.0,,1552677795
1472,277,374,1,0.0,,1552677845
1473,277,362,1,0.0,,1552677858
6137,225,495,1,0.0,,1561988992
6138,225,555,1,0.0,,1561988992
6139,225,449,1,0.0,,1561988992
1477,263,381,1,0.0,,1552683284
3567,277,353,1,0.0,,1556647775
6140,225,424,1,0.0,,1561988992
6141,225,838,1,0.0,,1561988992
6142,225,846,1,0.0,,1561988992
6143,225,766,1,0.0,,1561988992
6144,225,856,1,0.0,,1561988992
6145,225,849,1,0.0,,1561988992
6146,225,844,1,0.0,,1561988992
1492,261,307,1,0.0,,1552691581
6147,225,830,1,0.0,,1561988992
6148,225,650,1,0.0,,1561988992
6149,225,607,1,0.0,,1561988992
1498,261,363,1,0.0,,1552702554
1500,263,363,1,0.0,,1552704077
1499,264,363,1,1.0,,1552704310
1501,276,363,1,0.0,,1552704463
1502,261,378,1,0.0,,1552716351
6150,225,789,1,0.0,,1561988992
6151,225,796,1,0.0,,1561988992
1506,276,348,1,0.0,,1552735721
1470,264,348,1,1.0,,1552737635
1507,261,348,1,0.0,,1552739136
6152,225,392,1,0.0,,1561988992
6153,225,341,1,0.0,,1561988992
6154,225,409,1,0.0,,1561988992
6155,225,865,1,0.0,,1561988992
6156,225,427,1,0.0,,1561988992
1517,261,369,1,0.0,,1552781945
1518,263,369,1,0.0,,1552782467
1519,264,369,1,1.0,,1552782962
1520,276,369,1,0.0,,1552783250
1521,276,90,1,0.0,,1552809689
1522,277,363,1,0.0,,1552820051
1523,277,348,1,0.0,,1552820065
1524,277,369,1,0.0,,1552820074
1525,277,90,1,0.0,,1552822675
1491,264,277,1,1.0,,1554391945
6157,225,593,1,0.0,,1561988992
1527,261,347,1,0.0,,1552835360
6158,225,9,1,0.0,,1561988992
6159,225,400,1,0.0,,1561988992
6160,225,941,1,0.0,,1561988992
1336,264,377,1,1.0,,1552900827
1535,276,377,1,0.0,,1552900932
1536,263,347,1,0.0,,1552912160
1537,264,347,1,1.0,,1552912703
1538,276,347,1,0.0,,1552912825
6161,225,945,1,0.0,,1561988992
1540,261,190,1,0.0,,1552926562
1478,264,381,1,1.0,,1552942750
1541,276,381,1,0.0,,1552944646
6162,225,924,1,0.0,,1561988992
6163,225,918,1,0.0,,1561988992
6191,104,930,1,0.0,,1562254603
6213,335,918,2,0.0,,1562315344
1550,261,353,1,0.0,,1552988370
1551,263,353,1,0.0,,1552988752
1552,264,353,1,1.0,,1552989199
1553,276,353,1,0.0,,1552989461
6233,287,60,0,1.0,,0
3568,277,354,1,0.0,,1556647867
1556,265,2,1,1.0,,1553244199
6251,329,165,1,1.0,,1562548433
1560,266,3,1,1.0,,1553253096
6313,223,1001,1,0.0,,1562599461
6329,98,989,1,0.0,,1562667230
1563,263,190,1,0.0,,1553256781
1564,264,190,1,1.0,,1553256937
6342,263,989,1,0.0,,1562677326
1559,265,3,1,1.0,,1553258333
1567,276,190,1,0.0,,1553258394
1568,265,5,1,1.0,,1553258553
1569,266,5,1,1.0,,1553258564
6355,329,517,1,1.0,,1562685192
1571,267,5,1,0.0,,1553260187
1575,261,344,1,0.0,,1553265276
1576,289,5,0,1.0,,0
1577,287,2,0,1.0,,0
1612,266,60,1,1.0,,1553368817
1572,287,5,2,1.0,,1553271242
1578,289,344,0,1.0,,0
1580,263,344,1,0.0,,1553285566
1579,264,344,1,1.0,,1553285914
1581,276,344,1,0.0,,1553286279
1582,267,145,1,0.0,,1553286577
1583,287,145,0,1.0,,0
1584,265,266,1,1.0,,1553297480
1585,266,266,1,1.0,,1553297855
1586,266,369,1,1.0,,1553345959
1587,267,369,1,0.0,,1553346403
1588,264,262,0,1.0,,0
1589,263,262,1,0.0,,1553353489
1590,276,262,1,0.0,,1553353581
1591,265,262,1,1.0,,1553354391
1592,265,165,1,1.0,,1553358597
1593,266,165,1,1.0,,1553358689
1594,267,165,1,0.0,,1553359101
1596,265,47,0,1.0,,0
6414,97,1025,2,0.0,,1562829001
1598,267,359,1,0.0,,1553363419
1599,266,282,1,1.0,,1553363486
1600,289,282,0,1.0,,0
1601,265,282,0,1.0,,0
1603,265,377,0,1.0,,0
6425,94,1025,1,0.0,,1562830862
1606,265,147,0,1.0,,0
1607,266,147,1,1.0,,1553365363
1604,265,48,1,1.0,,1553365374
1610,265,95,0,1.0,,0
1611,265,115,1,1.0,,1553368880
1613,266,115,1,1.0,,1553368988
1614,267,115,1,0.0,,1553369357
1615,287,115,0,1.0,,0
1616,266,130,1,1.0,,1553370249
1617,267,130,1,0.0,,1553370397
1618,287,130,0,1.0,,0
1620,266,167,1,1.0,,1553372867
1621,289,266,0,1.0,,0
1622,267,381,1,0.0,,1553373366
1624,278,39,1,0.0,,1553381117
1625,269,294,1,0.0,,1553399570
1626,266,377,1,1.0,,1553403037
1627,267,377,1,0.0,,1553403188
1629,265,143,0,1.0,,0
1630,266,143,1,1.0,,1553418793
1631,265,268,0,1.0,,0
1623,265,353,1,1.0,,1553421953
1632,266,353,1,1.0,,1553422045
1634,265,90,1,1.0,,1553427322
1635,266,90,1,1.0,,1553427411
1636,265,65,0,1.0,,0
1637,279,203,0,0.0,,1553428680
1638,267,180,1,0.0,,1553432372
1639,287,180,0,1.0,,0
1640,289,180,0,1.0,,0
1641,279,376,0,0.0,,1553437190
1642,265,376,0,1.0,,0
1643,266,262,1,1.0,,1553440129
1644,289,262,0,1.0,,0
1645,267,383,1,0.0,,1553440362
1647,287,377,0,1.0,,0
1646,287,383,2,1.0,,1553448090
1648,289,383,0,1.0,,0
1649,289,377,0,1.0,,0
1650,267,280,1,0.0,,1553450699
1628,265,170,1,1.0,,1553499798
1602,265,363,1,1.0,,1553688520
1633,265,45,1,1.0,,1553690045
1619,265,167,1,1.0,,1554291862
6435,280,989,1,0.0,,1562834113
6445,222,1047,1,0.0,,1562847813
6397,310,1051,2,,,1563375604
6398,310,1052,2,,,1563375604
1651,285,62,1,0.0,,1553452135
1652,279,62,1,0.0,,1553452139
1653,281,62,1,0.0,,1553452148
1654,278,62,1,0.0,,1553452151
1655,267,372,1,0.0,,1553452451
1657,289,45,0,1.0,,0
1658,266,44,1,1.0,,1553458404
1661,266,328,1,1.0,,1553461406
1662,287,359,0,1.0,,0
1660,265,328,1,1.0,,1553462906
1663,265,126,0,1.0,,0
1664,266,126,1,1.0,,1553463537
1665,289,126,0,1.0,,0
1666,289,143,0,1.0,,0
1667,267,143,1,0.0,,1553469925
1668,287,143,0,1.0,,0
1669,266,290,1,1.0,,1553471247
1595,287,165,2,1.0,,1553471308
1670,289,165,0,1.0,,0
1671,289,50,0,1.0,,0
1659,265,369,1,1.0,,1553478445
1672,269,387,1,0.0,,1553495906
1673,285,387,1,0.0,,1553495978
1674,279,387,1,0.0,,1553495987
1675,286,387,1,0.0,,1553496009
1676,278,387,1,0.0,,1553496052
1677,265,387,1,1.0,,1553497774
1678,289,149,0,1.0,,0
1679,267,118,1,0.0,,1553498375
1680,266,363,1,1.0,,1553498457
1681,266,387,1,1.0,,1553498560
1683,266,170,1,1.0,,1553499829
1684,287,381,0,1.0,,0
1685,266,381,1,1.0,,1553500068
6164,305,313,1,0.0,,1562029417
1687,289,381,0,1.0,,0
1682,265,118,1,1.0,,1553500728
1688,266,118,1,1.0,,1553500791
1689,287,118,0,1.0,,0
1690,265,217,0,1.0,,0
1691,265,320,0,1.0,,0
1692,266,315,1,1.0,,1553504582
1693,265,311,0,1.0,,0
1694,266,217,1,1.0,,1553505331
1695,289,217,0,1.0,,0
1696,265,286,0,1.0,,0
1697,266,334,1,1.0,,1553508360
1698,263,354,1,0.0,,1553508401
1700,267,387,1,0.0,,1553509542
1701,287,387,0,1.0,,0
1702,276,354,1,0.0,,1553510400
1703,265,213,0,1.0,,0
1704,266,213,1,1.0,,1553510562
1705,267,213,1,0.0,,1553511172
1706,287,213,0,1.0,,0
1699,264,354,1,1.0,,1553511699
1708,265,284,0,1.0,,0
1709,266,284,1,1.0,,1553514496
1710,289,284,0,1.0,,0
1711,265,254,0,1.0,,0
1712,266,254,1,1.0,,1553515124
1713,265,123,1,1.0,,1553515671
1714,266,123,1,1.0,,1553515684
1707,265,290,1,1.0,,1553516445
1715,266,156,1,1.0,,1553517262
1716,265,190,0,1.0,,0
1717,266,190,1,1.0,,1553518989
1718,289,190,0,1.0,,0
1719,265,171,0,1.0,,0
1720,267,156,1,0.0,,1553520733
1721,287,156,0,1.0,,0
1723,265,289,0,1.0,,0
6214,336,3,1,1.0,,1562316117
1729,266,331,1,1.0,,1553524618
1728,265,331,1,1.0,,1553524961
1730,263,331,1,0.0,,1553528389
1732,276,331,1,0.0,,1553530785
1733,266,2,1,1.0,,1553531155
1734,261,331,1,0.0,,1553531929
1735,289,2,0,1.0,,0
1736,266,95,1,1.0,,1553540006
1737,265,384,0,1.0,,0
1738,265,361,0,1.0,,0
1739,267,262,1,0.0,,1553545274
1741,289,361,0,1.0,,0
1742,267,90,1,0.0,,1553638077
1743,287,90,2,1.0,,1553643580
1744,89,90,2,0.0,,1553686276
1746,266,45,1,1.0,,1553687189
1747,93,90,2,0.0,,1553687356
1748,95,90,2,0.0,,1553687712
1749,97,90,2,0.0,,1553688101
1750,99,90,2,0.0,,1553688529
1745,265,246,1,1.0,,1553688572
1751,101,90,2,0.0,,1553688816
1752,89,165,2,0.0,,1553688948
1753,93,165,2,0.0,,1553689628
1754,95,165,2,0.0,,1553689853
1755,97,165,2,0.0,,1553690021
1756,99,165,2,0.0,,1553690186
1757,85,165,1,0.0,,1553690215
1758,88,165,1,0.0,,1553690219
1759,90,165,1,0.0,,1553690233
1760,91,165,1,0.0,,1553690234
1761,92,165,1,0.0,,1553690237
1762,94,165,1,0.0,,1553690239
1763,96,165,1,0.0,,1553690240
1764,98,165,1,0.0,,1553690242
1765,100,165,1,0.0,,1553690248
1766,266,246,1,1.0,,1553690299
1767,101,165,2,0.0,,1553690343
1740,287,262,2,1.0,,1554150515
1656,265,44,1,1.0,,1555930155
6234,329,277,1,1.0,,1562366004
6252,330,165,1,1.0,,1562548700
6314,224,1001,1,0.0,,1562603194
1770,89,170,2,0.0,,1553691887
1769,89,246,2,0.0,,1553692726
1771,265,127,0,1.0,,0
6165,303,313,1,0.0,,1562029601
1773,89,383,2,0.0,,1553696357
1774,89,58,3,0.0,,1553699074
1775,265,378,0,1.0,,0
1776,278,58,1,0.0,,1553700137
1777,103,165,2,0.0,,1553700205
1778,105,165,2,0.0,,1553700304
1779,102,165,1,0.0,,1553700318
