id,itemid,userid,rawgrade,rawgrademax,rawgrademin,rawscaleid,usermodified,finalgrade,hidden,locked,locktime,exported,overridden,excluded,feedback,feedbackformat,information,informationformat,timecreated,timemodified,aggregationstatus,aggregationweight
565,128,118,,210.0,0.0,,,208.66667,0,0,0,0,0,0,,0,,0,,1552309649.0,unknown,
145,136,102,9.33333,10.0,0.0,,3.0,9.33333,0,0,0,0,0,0,,0,,0,1550760482.0,1551117451.0,used,0.09091
144,135,102,,100.0,0.0,,3.0,100.0,0,0,0,0,1552309631,0,,0,,0,,1552309631.0,used,0.90909
1327,129,153,,100.0,0.0,,,,0,0,0,0,0,0,,0,,0,,,novalue,0.0
172,128,170,,215.0,0.0,,,213.0,0,0,0,0,0,0,,0,,0,,1552309650.0,unknown,
188,135,167,,100.0,0.0,,3.0,100.0,0,0,0,0,1552309628,0,,0,,0,,1552309628.0,used,1.0
223,130,285,,5.0,1.0,,,,0,0,0,0,0,0,,0,,0,,,novalue,0.0
174,130,170,5.0,5.0,1.0,3.0,170.0,5.0,0,0,0,0,0,0,,0,,0,,1551685604.0,used,0.02326
175,135,170,,100.0,0.0,,3.0,100.0,0,0,0,0,1552309632,0,,0,,0,,1552309632.0,used,0.46512
201,128,178,,100.0,0.0,,,100.0,0,0,0,0,0,0,,0,,0,,1552309650.0,unknown,
173,129,170,100.0,100.0,0.0,,170.0,100.0,0,0,0,0,0,0,,0,,0,,1551685525.0,used,0.46512
177,126,139,,12.0,0.0,,,0.0,0,0,0,0,0,0,,0,,0,,1550750042.0,unknown,
176,127,139,0.0,12.0,0.0,,2.0,0.0,0,0,0,0,0,0,,0,,0,1550750042.0,1550750042.0,used,1.0
179,128,255,,110.0,0.0,,,108.66667,0,0,0,0,0,0,,0,,0,,1552309652.0,unknown,
203,135,178,,100.0,0.0,,3.0,100.0,0,0,0,0,1552309630,0,,0,,0,,1552309630.0,used,1.0
178,129,255,,100.0,0.0,,255.0,,0,0,0,0,0,0,,0,,0,,,novalue,0.0
180,130,255,,5.0,1.0,,,,0,0,0,0,0,0,,0,,0,,,novalue,0.0
610,129,194,,100.0,0.0,,,,0,0,0,0,0,0,,0,,0,,,novalue,0.0
184,126,289,,12.0,0.0,,,10.0,0,0,0,0,0,0,,0,,0,,1550752207.0,unknown,
183,127,289,10.0,12.0,0.0,,289.0,10.0,0,0,0,0,0,0,,0,,0,1550752207.0,1550752207.0,used,1.0
1832,136,363,9.33333,10.0,0.0,,3.0,9.33333,0,0,0,0,0,0,,0,,0,1552703962.0,1552820051.0,used,0.09091
170,136,241,8.0,10.0,0.0,,3.0,8.0,0,0,0,0,0,0,,0,,0,1550754912.0,1551117297.0,used,0.08696
185,129,167,,100.0,0.0,,167.0,,0,0,0,0,0,0,,0,,0,,,novalue,0.0
187,130,167,,5.0,1.0,,,,0,0,0,0,0,0,,0,,0,,,novalue,0.0
189,136,167,,10.0,0.0,,,,0,0,0,0,0,0,,0,,0,,,novalue,0.0
169,135,241,,100.0,0.0,,3.0,100.0,0,0,0,0,1552309628,0,,0,,0,,1552309628.0,used,0.86957
1835,129,363,100.0,100.0,0.0,,363.0,100.0,0,0,0,0,0,0,,0,,0,,1552704310.0,used,0.90909
190,129,296,,100.0,0.0,,296.0,,0,0,0,0,0,0,,0,,0,,,novalue,0.0
192,130,296,,5.0,1.0,,,,0,0,0,0,0,0,,0,,0,,,novalue,0.0
197,130,98,,5.0,1.0,,,,0,0,0,0,0,0,,0,,0,,,novalue,0.0
195,129,98,,100.0,0.0,,98.0,,0,0,0,0,0,0,,0,,0,,,novalue,0.0
199,136,98,,10.0,0.0,,,,0,0,0,0,0,0,,0,,0,,,novalue,0.0
181,135,255,,100.0,0.0,,3.0,100.0,0,0,0,0,1552309629,0,,0,,0,,1552309629.0,used,0.90909
200,129,178,,100.0,0.0,,178.0,,0,0,0,0,0,0,,0,,0,,,novalue,0.0
202,130,178,,5.0,1.0,,,,0,0,0,0,0,0,,0,,0,,,novalue,0.0
204,136,178,,10.0,0.0,,,,0,0,0,0,0,0,,0,,0,,,novalue,0.0
213,128,301,,215.0,0.0,,,213.66667,0,0,0,0,0,0,,0,,0,,1552309652.0,unknown,
212,129,301,100.0,100.0,0.0,,301.0,100.0,0,0,0,0,0,0,,0,,0,,1551259830.0,used,0.46512
205,129,43,,100.0,0.0,,43.0,,0,0,0,0,0,0,,0,,0,,,novalue,0.0
207,130,43,,5.0,1.0,,,,0,0,0,0,0,0,,0,,0,,,novalue,0.0
206,128,43,,110.0,0.0,,,108.66667,0,0,0,0,0,0,,0,,0,,1552309647.0,unknown,
2880,128,428,,110.0,0.0,,,109.33333,0,0,0,0,0,0,,0,,0,,1556648078.0,unknown,
211,126,189,,12.0,0.0,,,3.0,0,0,0,0,0,0,,0,,0,,1550756042.0,unknown,
210,127,189,3.0,12.0,0.0,,2.0,3.0,0,0,0,0,0,0,,0,,0,1550756042.0,1550756042.0,used,1.0
214,130,301,5.0,5.0,1.0,3.0,301.0,5.0,0,0,0,0,0,0,,0,,0,,1551259967.0,used,0.02326
215,135,301,,100.0,0.0,,3.0,100.0,0,0,0,0,1552309632,0,,0,,0,,1552309632.0,used,0.46512
196,128,98,,100.0,0.0,,,100.0,0,0,0,0,0,0,,0,,0,,1552309648.0,unknown,
191,128,296,,110.0,0.0,,,106.66667,0,0,0,0,0,0,,0,,0,,1552476373.0,unknown,
218,126,246,,12.0,0.0,,,7.0,0,0,0,0,0,0,,0,,0,,1550757362.0,unknown,
208,135,43,,100.0,0.0,,3.0,100.0,0,0,0,0,1552309632,0,,0,,0,,1552309632.0,used,0.90909
591,136,116,9.33333,10.0,0.0,,3.0,9.33333,0,0,0,0,0,0,,0,,0,1551116228.0,1551120453.0,used,0.09091
217,127,246,7.0,12.0,0.0,,246.0,7.0,0,0,0,0,0,0,,0,,0,1550757362.0,1550757362.0,used,1.0
220,126,241,,12.0,0.0,,,9.0,0,0,0,0,0,0,,0,,0,,1550757778.0,unknown,
219,127,241,9.0,12.0,0.0,,241.0,9.0,0,0,0,0,0,0,,0,,0,1550757778.0,1550757778.0,used,1.0
1328,130,153,,5.0,1.0,,,,0,0,0,0,0,0,,0,,0,,,novalue,0.0
225,136,285,,10.0,0.0,,,,0,0,0,0,0,0,,0,,0,,,novalue,0.0
221,129,285,,100.0,0.0,,285.0,,0,0,0,0,0,0,,0,,0,,,novalue,0.0
2225,33,363,100.0,100.0,0.0,,363.0,100.0,0,0,0,0,0,0,,0,,0,1554405257.0,1554405257.0,used,0.11111
1329,136,153,,10.0,0.0,,,,0,0,0,0,0,0,,0,,0,,,novalue,0.0
258,130,168,5.0,5.0,1.0,3.0,168.0,5.0,0,0,0,0,0,0,,0,,0,,1551900658.0,used,0.02326
252,128,57,,215.0,0.0,,,215.0,0,0,0,0,0,0,,0,,0,,1552309648.0,unknown,
267,128,190,,215.0,0.0,,,213.66667,0,0,0,0,0,0,,0,,0,,1556647705.0,unknown,
1822,136,348,9.33333,10.0,0.0,,3.0,9.33333,0,0,0,0,0,0,,0,,0,1552737401.0,1552820065.0,used,0.09091
260,136,168,9.33333,10.0,0.0,,3.0,9.33333,0,0,0,0,0,0,,0,,0,1550842539.0,1551118804.0,used,0.04651
259,135,168,,100.0,0.0,,3.0,100.0,0,0,0,0,1552309630,0,,0,,0,,1552309630.0,used,0.46512
256,129,168,100.0,100.0,0.0,,168.0,100.0,0,0,0,0,0,0,,0,,0,,1551943119.0,used,0.46512
231,129,61,,100.0,0.0,,61.0,,0,0,0,0,0,0,,0,,0,,,novalue,0.0
233,130,61,5.0,5.0,1.0,3.0,61.0,5.0,0,0,0,0,0,0,,0,,0,,1551377721.0,used,0.04348
597,126,303,,12.0,0.0,,,7.0,0,0,0,0,0,0,,0,,0,,1551121887.0,unknown,
3365,126,945,,12.0,0.0,,,9.0,0,0,0,0,0,0,,0,,0,,1560787214.0,unknown,
239,130,134,,5.0,1.0,,,,0,0,0,0,0,0,,0,,0,,,novalue,0.0
238,129,134,,100.0,0.0,,,,0,0,0,0,0,0,,0,,0,,,novalue,0.0
1879,130,344,,5.0,1.0,3.0,344.0,,0,0,0,0,0,0,,0,,0,,,novalue,0.0
241,129,133,100.0,100.0,0.0,,133.0,100.0,0,0,0,0,0,0,,0,,0,,1551344517.0,used,0.46512
